(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.008032128514056,47.68473895582329,10.01002004008016,24.014028056112224,10.015184381778742,55.86739130434783,10.00650759219089,24.010845986984815
0.007967613425589907,113.47691569490814,0.0099196388769523,0.017839285786000858,0.014953816328739274,204.3324149338374,0.006465243434766448,0.01072835155114083
0.08926148903973039,10.65255442111929,0.09959738388608558,0.13356378920201709,0.12228579773930934,14.294488970713063,0.08040673749609822,0.10357775606345616
10,57,10.0,24.0,10,83,10.0,24
10,43,10.0,24.0,10,71,10,24
10,51,10.0,24.0,10,37,10,24
10,47,10.0,24.0,10,70,10,24
10,59,10.0,24.0,10,66,10,24
10,36,10.0,24.0,10,64,10,24
10,59,10.0,24.0,10,24,10,24
10,54,10.0,24.0,10,83,10,24
10,46,10.0,24.0,10,29,10,24
10,39,10.0,24.0,10,67,10,24
10,36,10.0,24.0,10,79,10,24
10,66,10.0,24.0,10,78,10,24
10,42,10.0,24.0,10,68,10,24
10,58,10.0,24.0,10,58,10,24
10,49,10.0,24.0,10,65,10,24
10,49,10.0,24.0,10,54,10,24
10,37,10.0,24.0,10,24,10,24
10,31,10.0,24.0,10,65,10,24
10,50,10.0,24.0,10,79,10,24
10,47,10.0,24.0,10,69,10,24
10,48,10.0,24.0,10,74,10,24
10,44,10.0,24.0,11,41,10,24
10,67,10.0,24.0,10,27,10,24
10,40,10.0,24.0,10,95,10,24
10,59,10.0,24.0,10,63,10,24
10,58,10.0,24.0,10,60,10,24
10,26,10.0,24.0,10,68,10,24
10,27,10.0,24.0,10,64,10,24
10,48,10.0,24.0,10,30,10,24
10,65,10.0,24.0,10,65,10,24
10,49,10.0,25.0,10,47,10,24
10,38,10.0,24.0,10,58,10,24
10,54,10.0,24.0,10,70,10,24
10,35,10.0,24.0,10,74,10,24
10,44,11.0,24.0,10,63,10,24
10,55,10.0,24.0,10,56,10,24
10,64,10.0,24.0,10,42,10,24
10,35,10.0,24.0,10,83,10,24
10,51,10.0,24.0,10,77,10,24
10,47,10.0,24.0,10,42,10,24
10,29,10.0,24.0,10,66,10,24
10,30,10.0,24.0,10,41,10,24
10,60,10.0,24.0,10,89,10,24
10,41,10.0,24.0,10,78,10,24
10,48,10.0,24.0,10,82,10,24
10,48,10.0,24.0,10,29,10,24
10,59,10.0,24.0,10,84,10,24
10,58,10.0,24.0,10,71,10,24
10,59,10.0,24.0,10,70,10,24
10,28,10.0,24.0,10,24,10,24
10,57,10.0,24.0,10,73,10,24
10,45,10.0,24.0,10,70,10,24
10,49,10.0,24.0,10,82,10,24
10,62,10.0,24.0,10,63,10,24
10,62,10.0,24.0,10,41,10,24
10,26,10.0,24.0,10,77,10,24
10,61,10.0,24.0,10,31,10,24
10,49,10.0,24.0,10,64,10,24
10,59,10.0,24.0,10,72,10,24
10,49,10.0,24.0,10,70,10,24
10,38,10.0,24.0,10,32,10,24
10,64,10.0,24.0,10,69,10,24
10,51,10.0,24.0,10,72,10,24
10,32,10.0,24.0,10,60,10,24
10,50,10.0,24.0,10,57,10,24
10,61,10.0,24.0,10,36,10,24
10,47,10.0,24.0,10,48,10,24
10,24,10.0,24.0,10,54,10,24
10,54,10.0,24.0,10,66,10,24
10,49,10.0,24.0,10,60,10,24
10,37,10.0,24.0,10,45,10,24
10,46,10.0,24.0,10,54,10,24
10,47,10.0,24.0,10,62,10,24
10,59,10.0,24.0,10,62,10,24
10,56,10.0,24.0,10,58,10,24
10,49,10.0,24.0,10,54,10,24
10,50,10.0,24.0,10,56,10,24
10,41,10.0,24.0,10,39,10,24
10,54,10.0,24.0,10,57,10,24
10,43,10.0,24.0,10,58,10,24
10,50,10.0,24.0,10,46,10,24
10,42,10.0,24.0,10,55,10,24
10,32,10.0,24.0,10,57,10,24
10,56,10.0,24.0,10,58,10,24
10,25,10.0,24.0,10,57,10,24
10,44,10.0,24.0,10,62,10,24
10,38,10.0,24.0,10,55,10,24
10,57,10.0,24.0,10,49,10,24
10,46,10.0,24.0,10,50,10,24
10,39,10.0,24.0,10,57,10,24
10,46,10.0,24.0,10,55,10,24
10,30,10.0,24.0,10,70,10,24
10,37,10.0,24.0,10,51,10,24
10,46,10.0,24.0,10,56,10,24
10,46,10.0,24.0,10,43,10,24
10,53,10.0,24.0,10,55,10,24
10,45,11.0,24.0,10,45,10,24
10,46,10.0,24.0,10,49,10,24
10,54,10.0,24.0,10,63,10,24
10,45,10.0,24.0,10,52,10,24
10,51,10.0,24.0,10,58,10,24
10,38,10.0,24.0,10,43,10,24
10,54,10.0,24.0,10,59,10,24
10,38,10.0,24.0,10,29,10,24
10,50,10.0,24.0,10,56,10,24
10,37,10.0,24.0,10,51,10,25
10,45,10.0,24.0,10,49,10,24
10,41,10.0,24.0,10,55,10,24
10,44,10.0,24.0,10,28,10,24
10,52,10.0,24.0,10,31,10,24
10,46,10.0,24.0,10,63,10,24
10,46,10.0,24.0,10,51,10,24
10,40,10.0,24.0,10,63,10,24
10,55,10.0,24.0,10,67,10,24
10,38,10.0,24.0,10,59,10,24
10,40,10.0,24.0,10,73,10,24
10,38,10.0,24.0,10,24,10,24
10,43,10.0,24.0,10,78,10,24
10,42,10.0,24.0,10,43,10,24
10,53,10.0,24.0,10,80,10,24
10,38,10.0,24.0,10,73,10,24
10,48,10.0,24.0,10,64,10,24
10,29,10.0,24.0,10,55,10,24
10,47,10.0,24.0,10,50,10,25
10,46,10.0,24.0,10,66,10,24
10,51,10.0,24.0,10,66,10,24
10,56,10.0,24.0,10,34,10,24
10,60,10.0,24.0,10,79,10,24
10,57,10.0,24.0,10,55,10,24
10,41,10.0,24.0,10,43,10,24
10,59,10.0,24.0,10,71,10,24
10,64,10.0,24.0,10,61,10,24
10,59,10.0,24.0,10,54,10,24
10,58,10.0,24.0,10,70,10,24
10,42,10.0,24.0,10,79,10,24
10,43,10.0,24.0,10,55,10,24
10,45,10.0,24.0,10,76,10,24
10,64,10.0,24.0,10,66,10,24
10,59,10.0,24.0,10,62,10,24
10,60,10.0,24.0,10,67,10,24
10,69,10.0,24.0,10,25,10,24
10,56,10.0,24.0,10,25,10,24
10,48,10.0,24.0,10,31,10,24
10,49,10.0,24.0,10,62,10,24
10,51,10.0,24.0,10,69,10,24
10,49,10.0,24.0,10,72,10,24
10,70,10.0,24.0,10,71,10,24
10,54,10.0,24.0,11,29,10,24
10,51,10.0,24.0,10,44,10,24
10,47,10.0,24.0,10,68,10,24
10,58,10.0,24.0,10,61,10,24
10,45,10.0,24.0,10,39,10,24
