departed,travel_time
1.0,45.0
14.0,53.0
26.0,47.0
38.0,42.0
50.0,42.0
63.0,133.0
75.0,135.0
87.0,125.0
99.0,114.0
124.0,91.0
148.0,67.0
112.0,105.0
136.0,81.0
161.0,61.0
185.0,41.0
173.0,55.0
197.0,46.0
210.0,46.0
222.0,49.0
234.0,141.0
271.0,124.0
259.0,138.0
246.0,154.0
295.0,107.0
344.0,61.0
357.0,63.0
381.0,52.0
467.0,104.0
479.0,95.0
504.0,71.0
491.0,86.0
516.0,63.0
528.0,51.0
540.0,42.0
283.0,317.0
553.0,49.0
308.0,296.0
320.0,289.0
565.0,47.0
332.0,281.0
369.0,249.0
577.0,42.0
589.0,43.0
602.0,133.0
614.0,137.0
638.0,117.0
626.0,130.0
663.0,94.0
650.0,110.0
687.0,74.0
675.0,87.0
699.0,63.0
712.0,52.0
724.0,41.0
393.0,386.0
406.0,377.0
418.0,368.0
736.0,51.0
430.0,361.0
748.0,47.0
442.0,358.0
761.0,42.0
773.0,142.0
785.0,132.0
797.0,133.0
834.0,98.0
822.0,112.0
810.0,125.0
859.0,76.0
846.0,90.0
883.0,57.0
895.0,47.0
871.0,76.0
908.0,49.0
455.0,503.0
920.0,53.0
932.0,47.0
957.0,136.0
944.0,152.0
969.0,144.0
981.0,133.0
993.0,125.0
1006.0,114.0
1091.0,55.0
1165.0,127.0
1189.0,103.0
1238.0,56.0
1177.0,118.0
1202.0,93.0
1214.0,84.0
1250.0,50.0
1226.0,75.0
1263.0,45.0
1018.0,298.0
1275.0,45.0
1030.0,292.0
1042.0,289.0
1055.0,280.0
1287.0,54.0
1299.0,52.0
1312.0,42.0
1324.0,134.0
1361.0,110.0
1348.0,124.0
1373.0,103.0
1422.0,54.0
1336.0,141.0
1385.0,94.0
1397.0,85.0
1410.0,74.0
1434.0,53.0
1446.0,50.0
1067.0,433.0
1079.0,426.0
1459.0,48.0
1104.0,406.0
1116.0,397.0
1471.0,46.0
1483.0,48.0
1495.0,139.0
1508.0,128.0
1581.0,72.0
1520.0,134.0
1532.0,124.0
1544.0,115.0
1557.0,103.0
1593.0,68.0
1606.0,55.0
1618.0,48.0
1569.0,101.0
1128.0,549.0
1630.0,51.0
1140.0,543.0
1153.0,533.0
1642.0,46.0
1655.0,45.0
1679.0,137.0
1667.0,151.0
1716.0,121.0
1704.0,135.0
1728.0,112.0
1691.0,150.0
1765.0,79.0
1777.0,67.0
1789.0,58.0
1802.0,47.0
1863.0,132.0
1850.0,148.0
1875.0,133.0
1899.0,113.0
1912.0,100.0
1887.0,128.0
1961.0,54.0
1924.0,93.0
1936.0,82.0
1973.0,47.0
1985.0,41.0
1948.0,79.0
1740.0,295.0
1997.0,42.0
1753.0,289.0
1814.0,234.0
1826.0,226.0
1838.0,218.0
2010.0,47.0
2022.0,44.0
2034.0,142.0
2046.0,132.0
2071.0,122.0
2059.0,135.0
2108.0,88.0
2083.0,114.0
2120.0,78.0
2132.0,71.0
2095.0,109.0
2144.0,62.0
2157.0,51.0
2169.0,43.0
2181.0,55.0
2193.0,43.0
2206.0,44.0
2218.0,137.0
2255.0,115.0
2242.0,131.0
2267.0,110.0
2230.0,148.0
2291.0,88.0
2304.0,75.0
2279.0,104.0
