step_time,step_stopped,step_wait_time,accumulated_wait_time
1.0,0,0.0,0.0
2.0,0,0.0,0.0
3.0,0,0.0,0.0
4.0,0,0.0,0.0
5.0,0,0.0,0.0
6.0,0,0.0,0.0
7.0,0,0.0,0.0
8.0,0,0.0,0.0
9.0,0,0.0,0.0
10.0,0,0.0,0.0
11.0,0,0.0,0.0
12.0,0,0.0,0.0
13.0,0,0.0,0.0
14.0,0,0.0,0.0
15.0,0,0.0,0.0
16.0,1,1.0,1.0
17.0,0,0.0,1.0
18.0,1,1.0,2.0
19.0,0,1.0,3.0
20.0,0,1.0,4.0
21.0,0,1.0,5.0
22.0,1,2.0,7.0
23.0,0,2.0,9.0
24.0,1,3.0,12.0
25.0,1,4.0,16.0
26.0,0,4.0,20.0
27.0,0,4.0,24.0
28.0,0,4.0,28.0
29.0,0,4.0,32.0
30.0,0,4.0,36.0
31.0,0,4.0,40.0
32.0,0,4.0,44.0
33.0,0,4.0,48.0
34.0,0,4.0,52.0
35.0,0,4.0,56.0
36.0,0,4.0,60.0
37.0,0,4.0,64.0
38.0,0,4.0,68.0
39.0,0,4.0,72.0
40.0,0,3.0,75.0
41.0,0,3.0,78.0
42.0,0,3.0,81.0
43.0,0,3.0,84.0
44.0,1,4.0,88.0
45.0,0,4.0,92.0
46.0,0,2.0,94.0
47.0,0,2.0,96.0
48.0,0,2.0,98.0
49.0,0,2.0,100.0
50.0,0,2.0,102.0
51.0,0,2.0,104.0
52.0,0,2.0,106.0
53.0,0,2.0,108.0
54.0,0,2.0,110.0
55.0,0,2.0,112.0
56.0,0,2.0,114.0
57.0,0,2.0,116.0
58.0,0,2.0,118.0
59.0,0,2.0,120.0
60.0,0,2.0,122.0
61.0,0,2.0,124.0
62.0,1,3.0,127.0
63.0,1,4.0,131.0
64.0,0,3.0,134.0
65.0,1,4.0,138.0
66.0,0,4.0,142.0
67.0,0,4.0,146.0
68.0,1,5.0,151.0
69.0,0,5.0,156.0
70.0,1,6.0,162.0
71.0,0,6.0,168.0
72.0,0,6.0,174.0
73.0,0,6.0,180.0
74.0,1,7.0,187.0
75.0,0,7.0,194.0
76.0,0,7.0,201.0
77.0,0,7.0,208.0
78.0,0,7.0,215.0
79.0,0,6.0,221.0
80.0,0,6.0,227.0
81.0,0,6.0,233.0
82.0,0,6.0,239.0
83.0,0,6.0,245.0
84.0,0,6.0,251.0
85.0,1,7.0,258.0
86.0,1,8.0,266.0
87.0,0,8.0,274.0
88.0,0,8.0,282.0
89.0,0,8.0,290.0
90.0,0,7.0,297.0
91.0,0,6.0,303.0
92.0,0,6.0,309.0
93.0,0,5.0,314.0
94.0,1,6.0,320.0
95.0,0,6.0,326.0
96.0,0,6.0,332.0
97.0,0,6.0,338.0
98.0,0,6.0,344.0
99.0,0,6.0,350.0
100.0,0,6.0,356.0
101.0,2,8.0,364.0
102.0,0,7.0,371.0
103.0,1,8.0,379.0
104.0,0,8.0,387.0
105.0,1,9.0,396.0
106.0,1,10.0,406.0
107.0,0,9.0,415.0
108.0,1,10.0,425.0
109.0,0,10.0,435.0
110.0,0,10.0,445.0
111.0,0,10.0,455.0
112.0,0,10.0,465.0
113.0,0,10.0,475.0
114.0,0,10.0,485.0
115.0,1,11.0,496.0
116.0,0,11.0,507.0
117.0,2,13.0,520.0
118.0,0,13.0,533.0
119.0,0,13.0,546.0
120.0,0,13.0,559.0
121.0,0,13.0,572.0
122.0,0,13.0,585.0
123.0,0,13.0,598.0
124.0,0,13.0,611.0
125.0,1,14.0,625.0
126.0,0,14.0,639.0
127.0,1,15.0,654.0
128.0,1,16.0,670.0
129.0,0,16.0,686.0
130.0,0,16.0,702.0
131.0,0,16.0,718.0
132.0,0,16.0,734.0
133.0,1,17.0,751.0
134.0,0,17.0,768.0
135.0,0,17.0,785.0
136.0,0,17.0,802.0
137.0,1,18.0,820.0
138.0,0,18.0,838.0
139.0,1,19.0,857.0
140.0,0,19.0,876.0
141.0,0,19.0,895.0
142.0,0,19.0,914.0
143.0,1,20.0,934.0
144.0,0,19.0,953.0
145.0,1,20.0,973.0
146.0,0,20.0,993.0
147.0,0,20.0,1013.0
148.0,0,20.0,1033.0
149.0,0,20.0,1053.0
150.0,0,20.0,1073.0
151.0,0,12.0,1085.0
152.0,0,7.0,1092.0
153.0,0,6.0,1098.0
154.0,1,7.0,1105.0
155.0,0,7.0,1112.0
156.0,0,7.0,1119.0
157.0,0,7.0,1126.0
158.0,0,7.0,1133.0
159.0,1,8.0,1141.0
160.0,1,9.0,1150.0
161.0,0,9.0,1159.0
162.0,0,9.0,1168.0
163.0,0,9.0,1177.0
164.0,0,9.0,1186.0
165.0,0,9.0,1195.0
166.0,0,9.0,1204.0
167.0,0,9.0,1213.0
168.0,0,9.0,1222.0
169.0,0,9.0,1231.0
170.0,0,9.0,1240.0
171.0,0,9.0,1249.0
172.0,0,9.0,1258.0
173.0,1,10.0,1268.0
