(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
14.0,56.0,13.0,27.0,14.0,56.0,13.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,27,14.0,56,13,27.0
14.0,56.0,13.0,,14.0,,,27.0
