step_time,step_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
0.0,0,0.0,0.0,0,0
1.0,0,0.0,0.0,0,0
2.0,0,0.0,0.0,0,0
3.0,0,0.0,0.0,0,0
4.0,0,0.0,0.0,0,0
5.0,0,0.0,0.0,0,0
6.0,0,0.0,0.0,0,0
7.0,0,0.0,0.0,0,0
8.0,0,0.0,0.0,0,0
9.0,0,0.0,0.0,0,0
10.0,0,0.0,0.0,0,0
11.0,0,0.0,0.0,0,0
12.0,0,0.0,0.0,0,0
13.0,0,0.0,0.0,0,0
14.0,0,0.0,0.0,0,0
15.0,1,1.0,1.0,0,0
16.0,0,1.0,2.0,0,0
17.0,1,2.0,4.0,0,0
18.0,0,2.0,6.0,0,0
19.0,0,2.0,8.0,0,0
20.0,0,2.0,10.0,0,0
21.0,0,2.0,12.0,0,1
22.0,0,2.0,14.0,0,1
23.0,0,2.0,16.0,0,1
24.0,0,2.0,18.0,0,1
25.0,0,2.0,20.0,0,1
26.0,1,3.0,23.0,0,2
27.0,1,4.0,27.0,0,2
28.0,1,5.0,32.0,0,2
29.0,0,5.0,37.0,0,2
30.0,0,5.0,42.0,0,2
31.0,0,5.0,47.0,1,2
32.0,0,5.0,52.0,1,2
33.0,0,5.0,57.0,1,2
34.0,0,5.0,62.0,2,2
35.0,1,6.0,68.0,2,2
36.0,0,5.0,73.0,3,2
37.0,0,5.0,78.0,3,2
38.0,1,6.0,84.0,3,2
39.0,0,6.0,90.0,3,2
40.0,0,6.0,96.0,4,2
41.0,0,6.0,102.0,4,2
42.0,0,6.0,108.0,4,2
43.0,1,7.0,115.0,4,2
44.0,0,7.0,122.0,4,2
45.0,0,6.0,128.0,4,2
46.0,0,6.0,134.0,4,2
47.0,1,7.0,141.0,4,2
48.0,0,7.0,148.0,4,2
49.0,0,7.0,155.0,5,2
50.0,0,7.0,162.0,5,2
51.0,1,8.0,170.0,6,2
52.0,1,8.0,178.0,6,2
53.0,1,9.0,187.0,6,2
54.0,0,9.0,196.0,6,2
55.0,2,10.0,206.0,6,2
56.0,2,11.0,217.0,7,2
57.0,0,10.0,227.0,7,2
58.0,1,10.0,237.0,7,2
59.0,0,9.0,246.0,7,3
60.0,0,9.0,255.0,7,3
61.0,0,9.0,264.0,7,4
62.0,0,9.0,273.0,8,4
63.0,1,10.0,283.0,8,4
64.0,0,10.0,293.0,8,5
65.0,0,10.0,303.0,9,5
66.0,1,11.0,314.0,9,5
67.0,0,11.0,325.0,9,6
68.0,0,11.0,336.0,9,6
69.0,0,11.0,347.0,9,7
70.0,0,11.0,358.0,9,7
71.0,0,11.0,369.0,9,7
72.0,0,11.0,380.0,9,8
73.0,0,11.0,391.0,9,8
74.0,0,10.0,401.0,10,8
75.0,0,10.0,411.0,10,8
