(TS : 3210041371  Phase : 0),(TS : 3210041371  Phase : 2),(TS : 3210041371  Phase : 4),(TS : 3210041371  Phase : 6),(TS : 3210041371  Phase : 8),(TS : 3210041371  Phase : 10),(TS : 452397025  Phase : 0),(TS : 452397025  Phase : 2),(TS : 452397025  Phase : 4),(TS : 4708662059  Phase : 0),(TS : 4708662059  Phase : 2),(TS : 4708662059  Phase : 4),(TS : 4708662059  Phase : 6),(TS : 4708662059  Phase : 8),(TS : 4708662059  Phase : 10),(TS : 5870232715  Phase : 0),(TS : 5870232715  Phase : 2),(TS : 5870232715  Phase : 4)
13.0,20.0,13.0,30.0,50.0,30.0,30.0,80.0,55.0,30.0,50.0,30.0,15.0,16.0,15.0,65.0,15.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,20,13,30,50,30,30.0,80,55,30.0,50,30,15,16,15,65.0,15,15
13,20,13,30,50,30,30,80,55,30,50,30,15,16,15,65.0,15,15
13,20,13,30,50,30,30,80,55,30,50,30,15,16,15,65.0,15,15
13,20,13,30,50,30,30,80,55,30,50,30,15,16,15,65.0,15,15
13,20,13,,,,30,,,30,,,,,,65.0,15,15
,,,,,,,,,,,,,,,65.0,15,15
,,,,,,,,,,,,,,,65.0,15,15
,,,,,,,,,,,,,,,65.0,,
