departed,travel_time
1.0,120.0
145.0,149.0
289.0,190.0
433.0,220.0
577.0,88.0
721.0,115.0
865.0,153.0
1009.0,184.0
1153.0,225.0
1297.0,87.0
1441.0,112.0
1585.0,151.0
1729.0,184.0
1873.0,222.0
2017.0,84.0
2161.0,115.0
2305.0,155.0
2449.0,189.0
2593.0,220.0
2737.0,81.0
2881.0,115.0
3025.0,153.0
3169.0,187.0
3313.0,227.0
3457.0,84.0
3601.0,115.0
3859.0,217.0
4116.0,141.0
4373.0,74.0
4630.0,166.0
4887.0,91.0
5144.0,189.0
5659.0,216.0
5916.0,141.0
6173.0,78.0
6430.0,162.0
6687.0,91.0
6944.0,191.0
7201.0,118.0
7365.0,132.0
7529.0,144.0
7692.0,162.0
7856.0,190.0
8020.0,195.0
8183.0,213.0
8347.0,229.0
8511.0,75.0
8674.0,80.0
8838.0,97.0
9001.0,116.0
9165.0,129.0
9329.0,146.0
9492.0,163.0
9656.0,178.0
9820.0,193.0
9983.0,212.0
10147.0,228.0
10311.0,81.0
10474.0,94.0
10638.0,96.0
10836.0,66.0
10801.0,103.0
10801.0,121.0
10871.0,204.0
10941.0,143.0
10906.0,179.0
10976.0,112.0
11046.0,50.0
11011.0,94.0
10875.0,231.0
10948.0,160.0
11081.0,180.0
11116.0,146.0
11186.0,80.0
11151.0,116.0
11022.0,253.0
11221.0,69.0
11291.0,150.0
11256.0,191.0
11326.0,122.0
11361.0,89.0
11396.0,55.0
11095.0,360.0
11169.0,288.0
11466.0,150.0
11431.0,186.0
11535.0,86.0
11570.0,67.0
11242.0,398.0
11316.0,326.0
11389.0,256.0
11501.0,144.0
11605.0,185.0
11675.0,125.0
11710.0,94.0
11640.0,165.0
11745.0,71.0
11463.0,364.0
11536.0,293.0
11780.0,198.0
11815.0,167.0
11850.0,136.0
11885.0,102.0
11920.0,73.0
11610.0,386.0
11683.0,316.0
11757.0,245.0
11955.0,199.0
11990.0,164.0
12025.0,140.0
12095.0,76.0
11830.0,346.0
12130.0,48.0
11904.0,276.0
12060.0,125.0
11977.0,212.0
12165.0,172.0
12200.0,146.0
12269.0,81.0
12234.0,120.0
12050.0,307.0
12304.0,55.0
12339.0,177.0
12374.0,143.0
12444.0,78.0
12409.0,116.0
12479.0,52.0
12124.0,417.0
12197.0,346.0
12271.0,275.0
12514.0,176.0
12549.0,144.0
12619.0,85.0
12584.0,124.0
12654.0,55.0
12344.0,370.0
12418.0,300.0
12491.0,238.0
12724.0,156.0
12689.0,192.0
12759.0,124.0
12794.0,91.0
12829.0,60.0
12638.0,261.0
12712.0,199.0
12864.0,185.0
12934.0,124.0
12899.0,165.0
12968.0,104.0
12785.0,289.0
13003.0,80.0
13038.0,191.0
13073.0,162.0
13143.0,102.0
13108.0,141.0
13178.0,74.0
12859.0,395.0
12932.0,332.0
13006.0,259.0
13213.0,202.0
13283.0,139.0
13248.0,175.0
13318.0,113.0
13353.0,78.0
13079.0,361.0
13388.0,54.0
13153.0,290.0
13226.0,222.0
13423.0,171.0
13458.0,136.0
13493.0,107.0
13528.0,82.0
13299.0,320.0
13563.0,62.0
13373.0,253.0
13598.0,173.0
13633.0,140.0
13667.0,113.0
13702.0,85.0
13446.0,349.0
13520.0,280.0
13737.0,80.0
13772.0,183.0
13807.0,148.0
13877.0,95.0
13912.0,63.0
13593.0,386.0
13842.0,137.0
13667.0,315.0
13740.0,250.0
13947.0,186.0
13982.0,153.0
14017.0,125.0
14052.0,104.0
14087.0,71.0
13814.0,353.0
13887.0,285.0
14122.0,196.0
14157.0,162.0
14227.0,99.0
14192.0,138.0
14262.0,68.0
13961.0,384.0
14034.0,314.0
14297.0,199.0
14332.0,167.0
14367.0,137.0
14401.0,106.0
14432.0,79.0
14463.0,51.0
14108.0,410.0
14181.0,339.0
14255.0,268.0
14328.0,202.0
14494.0,185.0
14525.0,157.0
14555.0,129.0
14586.0,102.0
14401.0,294.0
14617.0,78.0
14504.0,197.0
14648.0,56.0
14607.0,98.0
14678.0,177.0
14709.0,155.0
14740.0,127.0
14801.0,70.0
14771.0,105.0
14832.0,205.0
14863.0,183.0
14925.0,123.0
14894.0,156.0
14710.0,346.0
14813.0,246.0
14955.0,108.0
14986.0,77.0
14916.0,153.0
15048.0,172.0
15017.0,206.0
15078.0,147.0
15140.0,90.0
15109.0,125.0
15171.0,71.0
15019.0,231.0
15201.0,200.0
15232.0,169.0
15263.0,143.0
15294.0,118.0
15325.0,93.0
15355.0,65.0
15121.0,300.0
15386.0,181.0
15417.0,157.0
15478.0,108.0
15509.0,78.0
15224.0,376.0
15448.0,153.0
15540.0,61.0
15327.0,277.0
15601.0,155.0
15571.0,191.0
15663.0,105.0
15632.0,137.0
15694.0,78.0
15725.0,54.0
15430.0,351.0
15533.0,250.0
15786.0,155.0
15755.0,189.0
15817.0,128.0
15848.0,103.0
15878.0,76.0
15909.0,52.0
15636.0,326.0
15739.0,230.0
15940.0,177.0
15971.0,148.0
16001.0,121.0
16032.0,90.0
16063.0,68.0
15841.0,298.0
15944.0,205.0
16125.0,167.0
16094.0,203.0
16155.0,144.0
16186.0,120.0
16248.0,65.0
16217.0,99.0
16047.0,272.0
16278.0,196.0
16309.0,171.0
16340.0,144.0
16371.0,114.0
16432.0,62.0
16150.0,345.0
16401.0,95.0
16253.0,254.0
16463.0,194.0
16494.0,168.0
16525.0,144.0
16586.0,87.0
16555.0,121.0
16617.0,61.0
