step_time,step_stopped,step_wait_time,accumulated_wait_time
1.0,0,0.0,0.0
2.0,0,0.0,0.0
3.0,0,0.0,0.0
4.0,0,0.0,0.0
5.0,0,0.0,0.0
6.0,0,0.0,0.0
7.0,0,0.0,0.0
8.0,0,0.0,0.0
9.0,0,0.0,0.0
10.0,0,0.0,0.0
11.0,0,0.0,0.0
12.0,0,0.0,0.0
13.0,0,0.0,0.0
14.0,0,0.0,0.0
15.0,0,0.0,0.0
16.0,0,0.0,0.0
17.0,1,1.0,1.0
18.0,0,1.0,2.0
19.0,0,1.0,3.0
20.0,0,1.0,4.0
21.0,1,2.0,6.0
22.0,0,1.0,7.0
23.0,3,4.0,11.0
24.0,0,4.0,15.0
25.0,0,4.0,19.0
26.0,0,4.0,23.0
27.0,0,4.0,27.0
28.0,0,4.0,31.0
29.0,0,4.0,35.0
30.0,0,4.0,39.0
31.0,0,4.0,43.0
32.0,0,4.0,47.0
33.0,0,4.0,51.0
34.0,0,4.0,55.0
35.0,0,4.0,59.0
36.0,0,4.0,63.0
37.0,0,4.0,67.0
38.0,0,4.0,71.0
39.0,0,4.0,75.0
40.0,1,4.0,79.0
41.0,0,4.0,83.0
42.0,0,4.0,87.0
43.0,0,4.0,91.0
44.0,0,4.0,95.0
45.0,0,4.0,99.0
46.0,0,2.0,101.0
47.0,0,2.0,103.0
48.0,0,2.0,105.0
49.0,0,2.0,107.0
50.0,0,2.0,109.0
51.0,0,2.0,111.0
52.0,0,2.0,113.0
53.0,0,2.0,115.0
54.0,0,2.0,117.0
55.0,0,2.0,119.0
56.0,0,2.0,121.0
57.0,0,2.0,123.0
58.0,0,2.0,125.0
59.0,0,2.0,127.0
60.0,1,3.0,130.0
61.0,0,3.0,133.0
62.0,0,3.0,136.0
63.0,0,3.0,139.0
64.0,0,3.0,142.0
65.0,0,3.0,145.0
66.0,0,3.0,148.0
67.0,1,4.0,152.0
68.0,0,4.0,156.0
69.0,1,5.0,161.0
70.0,0,5.0,166.0
71.0,0,5.0,171.0
72.0,0,5.0,176.0
73.0,0,5.0,181.0
74.0,0,5.0,186.0
75.0,0,5.0,191.0
76.0,1,6.0,197.0
77.0,0,6.0,203.0
78.0,0,6.0,209.0
79.0,0,5.0,214.0
80.0,0,5.0,219.0
81.0,0,5.0,224.0
82.0,0,5.0,229.0
83.0,0,5.0,234.0
84.0,0,5.0,239.0
85.0,0,5.0,244.0
86.0,0,5.0,249.0
87.0,1,6.0,255.0
88.0,0,5.0,260.0
89.0,1,6.0,266.0
90.0,0,5.0,271.0
91.0,0,5.0,276.0
92.0,0,5.0,281.0
93.0,0,4.0,285.0
94.0,1,5.0,290.0
95.0,1,6.0,296.0
96.0,0,6.0,302.0
97.0,0,6.0,308.0
98.0,0,5.0,313.0
99.0,1,6.0,319.0
100.0,0,6.0,325.0
101.0,0,6.0,331.0
102.0,0,6.0,337.0
103.0,1,7.0,344.0
104.0,0,6.0,350.0
105.0,1,7.0,357.0
106.0,1,8.0,365.0
107.0,1,9.0,374.0
108.0,0,9.0,383.0
109.0,0,9.0,392.0
110.0,0,9.0,401.0
111.0,0,9.0,410.0
112.0,0,9.0,419.0
113.0,0,9.0,428.0
114.0,1,10.0,438.0
115.0,1,11.0,449.0
116.0,0,11.0,460.0
117.0,1,11.0,471.0
118.0,1,12.0,483.0
119.0,0,12.0,495.0
120.0,0,12.0,507.0
121.0,0,12.0,519.0
122.0,0,12.0,531.0
123.0,0,12.0,543.0
124.0,1,13.0,556.0
125.0,0,13.0,569.0
126.0,0,13.0,582.0
127.0,0,13.0,595.0
128.0,0,13.0,608.0
129.0,1,14.0,622.0
130.0,0,14.0,636.0
131.0,1,15.0,651.0
132.0,1,16.0,667.0
133.0,0,16.0,683.0
134.0,2,18.0,701.0
135.0,0,17.0,718.0
136.0,0,17.0,735.0
137.0,1,18.0,753.0
138.0,0,17.0,770.0
139.0,1,18.0,788.0
140.0,0,18.0,806.0
141.0,1,19.0,825.0
142.0,0,18.0,843.0
143.0,0,18.0,861.0
144.0,0,18.0,879.0
145.0,0,18.0,897.0
146.0,1,19.0,916.0
147.0,0,19.0,935.0
148.0,0,19.0,954.0
149.0,0,19.0,973.0
150.0,0,19.0,992.0
151.0,0,11.0,1003.0
152.0,1,10.0,1013.0
153.0,0,7.0,1020.0
154.0,1,8.0,1028.0
155.0,0,7.0,1035.0
156.0,0,7.0,1042.0
157.0,0,7.0,1049.0
158.0,0,7.0,1056.0
159.0,0,7.0,1063.0
160.0,0,7.0,1070.0
161.0,0,7.0,1077.0
162.0,0,7.0,1084.0
163.0,1,8.0,1092.0
164.0,0,7.0,1099.0
165.0,1,8.0,1107.0
166.0,0,8.0,1115.0
167.0,0,8.0,1123.0
168.0,1,9.0,1132.0
169.0,0,9.0,1141.0
170.0,0,9.0,1150.0
171.0,0,9.0,1159.0
172.0,1,10.0,1169.0
173.0,0,10.0,1179.0
