(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
20.65671641791045,11.134328358208956,43.1044776119403,10.373134328358208,20.75,11.0,41.6764705882353,10.176470588235293
118.34484294943196,26.175985742927157,530.0637112942749,21.99509913120962,117.1875,27.0,569.9541522491352,22.645328719723178
10.878641594860635,5.116247232388908,23.023112545750084,4.689893296356498,10.825317547305483,5.196152422706632,23.873712577836216,4.758710825394119
27,14.0,56,13,27.0,14.0,0.0,8.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
27,14,56,13,27.0,14.0,56.0,13.0
2,14,56,13,27.0,14.0,56.0,13.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
2,2,2,2,2.0,2.0,2.0,2.0
,,,,2.0,2.0,2.0,2.0
