step_time,from,to,elapsed_time
68.0,gneE1_0,gneE11_0,42.0
68.0,gneE1_0,gneE11_0,42.0
69.0,gneE1_0,gneE11_0,43.0
70.0,gneE1_0,gneE11_0,44.0
71.0,gneE1_0,gneE11_0,45.0
73.0,gneE1_0,gneE11_0,47.0
74.0,gneE1_0,gneE11_0,48.0
75.0,gneE1_0,gneE11_0,49.0
76.0,gneE1_0,gneE11_0,50.0
76.0,gneE1_0,gneE11_0,50.0
77.0,gneE1_0,gneE11_0,51.0
77.0,gneE1_0,gneE11_0,51.0
82.0,gneE1_0,gneE11_0,48.0
82.0,gneE1_0,gneE11_0,48.0
82.0,gneE1_0,gneE11_0,48.0
83.0,gneE1_0,gneE11_0,49.0
83.0,gneE1_0,gneE11_0,49.0
84.0,gneE1_0,gneE11_0,50.0
84.0,gneE1_0,gneE11_0,50.0
85.0,gneE1_0,gneE11_0,48.0
85.0,gneE1_0,gneE11_0,51.0
85.0,gneE1_0,gneE11_0,48.0
85.0,gneE1_0,gneE11_0,51.0
85.0,gneE1_0,gneE11_0,48.0
85.0,gneE1_0,gneE11_0,51.0
86.0,gneE1_0,gneE11_0,49.0
86.0,gneE1_0,gneE11_0,52.0
86.0,gneE1_0,gneE11_0,49.0
86.0,gneE1_0,gneE11_0,52.0
87.0,gneE1_0,gneE11_0,50.0
87.0,gneE1_0,gneE11_0,53.0
87.0,gneE1_0,gneE11_0,50.0
87.0,gneE1_0,gneE11_0,53.0
88.0,gneE1_0,gneE11_0,51.0
88.0,gneE1_0,gneE11_0,54.0
88.0,gneE1_0,gneE11_0,51.0
88.0,gneE1_0,gneE11_0,54.0
89.0,gneE1_0,gneE11_0,52.0
89.0,gneE1_0,gneE11_0,55.0
89.0,gneE1_0,gneE11_0,52.0
89.0,gneE1_0,gneE11_0,55.0
90.0,gneE1_0,gneE11_0,53.0
90.0,gneE1_0,gneE11_0,56.0
91.0,gneE1_0,gneE11_0,54.0
91.0,gneE1_0,gneE11_0,57.0
92.0,gneE1_0,gneE11_0,55.0
93.0,gneE1_0,gneE11_0,56.0
177.0,gneE1_0,gneE11_0,104.0
177.0,gneE1_0,gneE11_0,104.0
177.0,gneE1_0,gneE11_0,104.0
177.0,gneE1_0,gneE11_0,104.0
178.0,gneE1_0,gneE11_0,105.0
178.0,gneE1_0,gneE11_0,105.0
178.0,gneE1_0,gneE11_0,105.0
178.0,gneE1_0,gneE11_0,105.0
179.0,gneE1_0,gneE11_0,106.0
179.0,gneE1_0,gneE11_0,106.0
179.0,gneE1_0,gneE11_0,106.0
179.0,gneE1_0,gneE11_0,106.0
180.0,gneE1_0,gneE11_0,104.0
180.0,gneE1_0,gneE11_0,107.0
180.0,gneE1_0,gneE11_0,104.0
180.0,gneE1_0,gneE11_0,107.0
180.0,gneE1_0,gneE11_0,104.0
180.0,gneE1_0,gneE11_0,107.0
180.0,gneE1_0,gneE11_0,104.0
180.0,gneE1_0,gneE11_0,107.0
181.0,gneE1_0,gneE11_0,105.0
181.0,gneE1_0,gneE11_0,108.0
181.0,gneE1_0,gneE11_0,105.0
181.0,gneE1_0,gneE11_0,108.0
181.0,gneE1_0,gneE11_0,105.0
181.0,gneE1_0,gneE11_0,108.0
181.0,gneE1_0,gneE11_0,105.0
181.0,gneE1_0,gneE11_0,108.0
182.0,gneE1_0,gneE11_0,106.0
182.0,gneE1_0,gneE11_0,109.0
182.0,gneE1_0,gneE11_0,106.0
182.0,gneE1_0,gneE11_0,109.0
182.0,gneE1_0,gneE11_0,106.0
182.0,gneE1_0,gneE11_0,109.0
182.0,gneE1_0,gneE11_0,106.0
182.0,gneE1_0,gneE11_0,109.0
183.0,gneE1_0,gneE11_0,107.0
183.0,gneE1_0,gneE11_0,110.0
183.0,gneE1_0,gneE11_0,107.0
183.0,gneE1_0,gneE11_0,110.0
183.0,gneE1_0,gneE11_0,107.0
183.0,gneE1_0,gneE11_0,110.0
183.0,gneE1_0,gneE11_0,107.0
183.0,gneE1_0,gneE11_0,110.0
184.0,gneE1_0,gneE11_0,44.0
184.0,gneE1_0,gneE11_0,108.0
184.0,gneE1_0,gneE11_0,111.0
184.0,gneE1_0,gneE11_0,44.0
184.0,gneE1_0,gneE11_0,108.0
184.0,gneE1_0,gneE11_0,111.0
184.0,gneE1_0,gneE11_0,44.0
184.0,gneE1_0,gneE11_0,108.0
184.0,gneE1_0,gneE11_0,111.0
185.0,gneE1_0,gneE11_0,45.0
185.0,gneE1_0,gneE11_0,109.0
185.0,gneE1_0,gneE11_0,112.0
185.0,gneE1_0,gneE11_0,45.0
185.0,gneE1_0,gneE11_0,109.0
185.0,gneE1_0,gneE11_0,112.0
185.0,gneE1_0,gneE11_0,45.0
185.0,gneE1_0,gneE11_0,109.0
185.0,gneE1_0,gneE11_0,112.0
185.0,gneE1_0,gneE11_0,45.0
