step_time,reward,total_stopped,total_wait_time,gneJ00_passed,gneJ9_passed
1.0,0,0,0.0,0,0
5.0,0,0,0.0,0,0
9.0,0,0,0.0,0,0
13.0,0,0,0.0,0,0
17.0,0,0,0.0,0,0
21.0,0,0,0.0,0,0
25.0,0,0,0.0,0,0
29.0,0,0,0.0,1,2
33.0,0,3,10.0,1,2
37.0,0,3,23.0,3,2
41.0,0,4,39.0,3,2
45.0,0,4,55.0,4,2
49.0,0,5,72.0,4,2
53.0,0,5,92.0,5,2
57.0,0,4,87.0,6,2
61.0,0,6,87.0,7,3
65.0,0,7,105.0,8,4
69.0,0,8,133.0,8,7
73.0,0,8,165.0,9,8
77.0,0,7,179.0,10,9
81.0,0,7,207.0,11,9
85.0,0,8,238.0,12,12
89.0,0,12,279.0,12,13
93.0,0,8,192.0,13,13
97.0,0,9,161.0,16,15
101.0,0,9,197.0,18,17
105.0,0,13,245.0,18,19
109.0,0,15,299.0,18,20
113.0,0,15,358.0,18,20
117.0,0,17,425.0,19,20
121.0,0,19,437.0,19,20
125.0,0,24,524.0,20,20
129.0,0,28,496.0,21,20
133.0,0,25,525.0,21,22
137.0,0,25,541.0,21,24
141.0,0,21,551.0,23,26
145.0,0,20,567.0,25,27
149.0,0,15,575.0,29,27
153.0,0,17,542.0,31,27
157.0,0,17,571.0,34,27
161.0,0,13,446.0,37,28
165.0,0,14,447.0,40,31
169.0,0,14,482.0,42,31
173.0,0,14,535.0,43,31
177.0,0,14,436.0,45,32
181.0,0,13,439.0,46,34
185.0,0,13,446.0,48,37
189.0,0,12,434.0,49,39
193.0,0,10,290.0,51,43
197.0,0,7,251.0,53,44
201.0,0,8,264.0,55,48
205.0,0,8,293.0,56,50
209.0,0,6,198.0,56,52
213.0,0,9,170.0,58,53
217.0,0,10,208.0,60,54
221.0,0,11,250.0,62,56
225.0,0,12,295.0,62,59
229.0,0,13,344.0,62,60
233.0,0,13,399.0,62,63
237.0,0,15,458.0,63,63
241.0,0,19,441.0,63,63
245.0,0,26,501.0,65,63
249.0,0,25,461.0,65,63
253.0,0,27,418.0,65,65
257.0,0,24,487.0,67,68
261.0,0,20,514.0,69,69
265.0,0,19,496.0,72,69
269.0,0,18,507.0,74,70
273.0,0,17,505.0,78,70
277.0,0,15,498.0,81,70
281.0,0,15,482.0,84,72
285.0,0,17,504.0,87,74
289.0,0,18,555.0,89,74
293.0,0,14,513.0,92,74
297.0,0,12,468.0,94,78
301.0,0,11,383.0,95,80
305.0,0,11,384.0,96,82
309.0,0,12,419.0,98,86
313.0,0,8,313.0,99,88
317.0,0,10,289.0,102,91
321.0,0,11,332.0,104,93
325.0,0,12,379.0,104,96
329.0,0,8,228.0,106,97
333.0,0,10,225.0,109,100
