(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.017777777777777,56.87527839643653,11.617777777777778,24.017777777777777,10.006578947368421,55.0328947368421,11.87527352297593,24.00438596491228
0.017461728395061726,168.3897897331858,15.058350617283951,0.017461728395061726,0.006535664819944595,181.9572512696214,14.301729958007938,0.004366728224068946
0.1321428333094978,12.976509150506764,3.880509066769971,0.1321428333094978,0.08084345873318753,13.489153096826405,3.781762810913442,0.06608122444438319
10,78,25.0,24,10,66,10.0,24
10,41,19,24,10,71,10.0,24
10,48,25,24,10,56,10.0,24
10,26,22,24,10,58,10.0,24
10,83,25,24,10,65,10.0,24
10,78,14,24,10,64,10.0,24
10,83,10,24,10,68,10.0,24
10,56,10,24,10,69,10.0,24
10,69,10,24,10,64,10.0,24
10,75,10,24,10,38,10.0,24
10,59,10,24,10,77,12.0,24
10,56,10,24,10,59,10.0,24
10,55,10,24,10,66,11.0,24
10,58,10,24,10,54,10.0,24
10,64,11,24,10,61,10.0,24
10,64,10,24,10,61,10.0,24
10,61,10,24,10,57,10.0,24
10,58,10,24,10,60,10.0,24
10,48,10,24,10,59,10.0,24
10,71,10,24,10,62,10.0,24
10,59,10,24,10,63,10.0,24
10,61,10,24,10,63,10.0,24
10,71,10,24,10,64,10.0,24
10,48,10,24,10,59,10.0,24
10,29,10,24,10,64,10.0,24
10,61,17,24,10,50,10.0,24
10,72,10,24,10,61,10.0,24
10,66,10,24,10,54,10.0,24
10,54,10,24,10,41,13.0,24
10,57,10,25,10,83,18.0,24
10,57,10,24,10,29,10.0,24
10,49,10,24,10,56,18.0,24
10,78,10,25,10,26,13.0,24
10,59,10,24,10,64,21.0,24
10,53,10,24,10,65,11.0,24
10,60,10,24,10,65,10.0,25
10,63,10,24,10,63,10.0,24
10,49,10,24,10,42,10.0,24
10,69,10,24,10,65,10.0,24
10,60,10,24,10,29,10.0,24
10,65,10,24,10,76,11.0,24
10,60,10,24,10,44,10.0,24
10,28,10,24,10,72,10.0,24
10,71,10,24,10,44,10.0,24
10,28,10,24,10,59,10.0,24
10,67,10,24,10,54,10.0,24
10,66,10,24,10,73,10.0,24
10,55,10,24,10,70,10.0,24
10,64,10,24,10,60,10.0,24
10,52,10,24,10,57,10.0,24
10,64,10,24,10,62,10.0,24
10,57,10,24,10,60,10.0,24
10,53,10,24,10,57,10.0,24
10,54,10,24,10,32,10.0,24
10,40,10,25,10,69,13.0,24
10,48,10,24,10,26,10.0,24
10,56,10,24,10,56,10.0,24
10,56,10,24,10,24,10.0,24
10,34,10,24,10,31,13.0,24
10,70,18,24,10,57,10.0,24
10,32,10,24,10,33,10.0,24
10,64,15,24,10,71,10.0,24
10,69,10,24,10,54,10.0,24
10,50,10,24,10,58,10.0,24
10,65,11,24,10,61,10.0,24
10,71,10,24,10,25,10.0,24
10,35,10,24,10,79,15.0,24
10,65,11,24,10,73,10.0,24
10,77,10,24,10,61,10.0,24
10,60,10,24,10,33,10.0,24
10,24,10,24,10,69,10.0,24
10,76,17,24,10,60,10.0,24
10,67,10,24,10,52,10.0,24
10,51,10,24,10,61,11.0,24
10,61,10,24,10,29,10.0,24
10,46,10,24,10,55,16.0,24
10,59,10,24,10,59,10.0,24
10,37,10,24,10,35,10.0,24
10,73,10,24,10,55,10.0,24
10,53,10,24,10,60,10.0,24
10,61,10,24,10,56,10.0,24
10,46,10,24,10,64,10.0,24
10,58,10,24,10,56,10.0,24
10,52,10,24,10,53,10.0,24
10,37,10,24,10,50,11.0,24
10,71,10,24,10,53,12.0,24
10,70,10,24,10,63,10.0,24
10,63,10,24,10,65,10.0,24
10,69,10,24,10,62,10.0,24
10,70,10,24,10,74,10.0,24
10,59,10,24,10,68,10.0,24
10,68,10,24,10,64,10.0,24
10,64,10,25,10,61,10.0,24
10,53,10,24,10,53,10.0,24
10,55,10,24,10,59,10.0,24
10,70,10,24,10,55,10.0,24
10,74,18,24,10,31,10.0,24
10,75,20,24,10,42,11.0,24
10,72,10,24,10,59,24.0,24
10,67,10,24,10,52,10.0,24
10,54,10,24,10,68,10.0,24
10,53,10,24,10,37,10.0,24
10,44,10,24,10,77,17.0,24
10,63,10,24,10,34,10.0,24
10,61,10,24,10,38,16.0,24
10,64,10,24,10,69,15.0,24
10,30,10,24,10,64,10.0,24
10,72,18,24,10,65,10.0,24
10,58,10,24,10,57,10.0,24
10,60,10,24,10,50,10.0,24
10,36,10,24,10,52,10.0,24
10,71,18,24,10,74,16.0,24
10,53,10,24,10,43,10.0,24
10,57,10,24,10,60,20.0,24
10,48,10,24,11,29,10.0,24
10,69,15,24,10,60,18.0,24
10,62,10,25,10,63,16.0,24
10,70,10,24,10,44,14.0,24
10,77,10,24,10,64,22.0,24
10,44,10,24,10,64,19.0,24
10,60,13,24,10,68,17.0,24
10,58,11,24,10,68,19.0,24
10,70,10,24,10,31,13.0,24
10,51,12,24,10,82,24.0,24
10,62,22,24,10,33,10.0,24
10,68,18,24,10,75,23.0,24
10,63,10,24,10,41,11.0,24
10,70,10,24,10,68,19.0,24
10,39,10,24,10,64,10.0,24
10,69,22,24,10,65,10.0,24
10,44,10,24,10,59,10.0,24
10,70,15,24,10,51,10.0,24
10,68,10,24,10,63,10.0,24
10,50,10,24,10,63,10.0,24
10,67,15,24,10,70,10.0,24
10,37,10,24,10,59,10.0,24
10,72,19,24,10,63,10.0,24
10,62,10,24,10,64,10.0,24
10,68,10,24,10,57,10.0,24
11,28,10,24,10,29,10.0,24
10,66,22,24,10,31,25.0,24
10,74,11,24,10,57,23.0,24
10,64,10,25,10,46,14.0,24
10,63,10,24,10,62,23.0,24
10,66,10,24,10,65,17.0,24
10,66,10,24,11,65,20.0,24
10,61,10,24,10,60,19.0,24
10,29,10,24,10,67,20.0,24
10,83,21,24,10,41,19.0,24
10,58,10,24,10,64,11.0,24
10,69,10,24,10,66,19.0,24
10,66,10,24,10,30,17.0,24
10,57,10,24,10,38,21.0,24
10,50,10,24,10,80,25.0,24
10,72,24,24,10,66,10.0,24
10,50,10,24,10,80,21.0,24
10,65,16,24,10,41,10.0,24
10,55,10,24,10,62,12.0,24
10,33,10,24,10,57,10.0,24
10,74,25,24,10,64,10.0,24
10,64,10,24,10,62,10.0,24
10,33,10,24,10,46,10.0,24
10,69,18,24,10,53,10.0,24
10,72,10,24,10,48,15.0,24
10,69,10,24,10,65,20.0,24
10,69,10,24,10,70,10.0,24
10,58,10,24,10,73,10.0,24
10,63,10,24,10,60,10.0,24
10,55,10,24,10,58,10.0,24
10,63,10,24,10,59,10.0,24
10,60,10,24,10,62,10.0,24
10,58,10,24,10,53,10.0,24
10,54,10,24,10,61,10.0,24
10,62,10,24,10,51,10.0,24
10,29,10,24,10,54,10.0,24
11,64,18,24,10,61,10.0,24
10,73,10,24,10,60,10.0,24
10,66,11,24,10,57,10.0,24
10,72,21,24,10,33,10.0,24
10,84,10,24,10,36,16.0,24
10,68,14,24,10,59,25.0,24
10,48,10,24,10,63,13.0,24
10,38,14,24,10,66,10.0,24
10,63,17,24,10,64,10.0,24
10,33,10,24,10,64,10.0,24
10,79,25,24,10,28,10.0,24
10,71,10,24,10,59,16.0,24
10,52,10,24,10,67,10.0,24
10,25,12,24,10,50,11.0,24
10,34,25,24,10,71,10.0,24
10,38,25,24,10,66,10.0,24
10,49,25,24,10,55,10.0,24
10,73,13,24,10,50,10.0,24
10,83,18,24,10,59,10.0,24
10,25,10,24,10,74,14.0,24
10,69,22,24,10,48,10.0,24
10,66,10,24,10,59,21.0,24
10,60,11,24,10,26,11.0,24
10,59,10,24,10,31,15.0,24
10,50,10,24,10,56,13.0,24
10,57,10,24,10,65,10.0,24
10,37,10,24,10,59,13.0,24
11,66,10,24,10,57,10.0,24
10,43,10,24,10,65,10.0,24
10,58,15,24,10,51,13.0,24
10,35,11,24,10,59,10.0,24
10,42,20,24,10,53,10.0,24
10,75,16,24,10,56,10.0,24
10,66,10,24,10,61,10.0,24
10,56,10,24,10,42,13.0,24
10,40,10,24,10,57,10.0,24
10,34,10,24,10,33,10.0,24
10,63,15,24,10,63,10.0,24
10,76,10,24,10,56,10.0,24
10,59,10,24,10,64,10.0,24
10,65,10,24,10,53,10.0,24
10,52,10,24,10,74,10.0,24
10,60,11,24,10,73,10.0,24
10,61,10,24,10,66,10.0,24
10,52,10,24,10,54,10.0,24
10,63,10,24,10,52,10.0,24
10,45,10,24,10,61,10.0,24
10,56,10,24,10,49,10.0,24
10,60,10,24,10,64,10.0,24
10,31,10,24,10,53,10.0,24
10,65,10,24,10,50,10.0,24
10,64,10,24,10,54,10.0,24
10,60,10,24,10,26,10.0,24
10,58,10,24,10,62,21.0,24
10,56,10,24,10,64,10.0,24
10,61,10,24,10,58,10.0,24
