step_time,step_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
301.0,2,2081.0,2081.0,92,82
302.0,3,18.0,2099.0,92,82
303.0,2,18.0,2117.0,92,82
304.0,1,17.0,2134.0,93,84
305.0,3,20.0,2154.0,93,84
306.0,0,19.0,2173.0,93,85
307.0,2,21.0,2194.0,93,85
308.0,1,22.0,2216.0,94,85
309.0,1,23.0,2239.0,94,85
310.0,3,26.0,2265.0,94,85
311.0,1,24.0,2289.0,94,86
312.0,3,27.0,2316.0,94,86
313.0,4,27.0,2343.0,95,87
314.0,1,24.0,2367.0,95,87
315.0,3,24.0,2391.0,95,87
316.0,2,26.0,2417.0,95,89
317.0,1,26.0,2443.0,95,89
318.0,4,29.0,2472.0,95,90
319.0,2,29.0,2501.0,95,91
320.0,3,31.0,2532.0,95,92
321.0,3,33.0,2565.0,95,92
322.0,1,31.0,2596.0,95,93
323.0,2,32.0,2628.0,95,93
324.0,2,34.0,2662.0,95,93
325.0,1,35.0,2697.0,96,93
326.0,2,37.0,2734.0,96,93
327.0,1,38.0,2772.0,96,94
328.0,1,36.0,2808.0,96,94
329.0,2,36.0,2844.0,96,94
330.0,4,38.0,2882.0,96,94
331.0,2,37.0,2919.0,96,94
332.0,2,38.0,2957.0,97,94
333.0,5,42.0,2999.0,98,94
334.0,1,42.0,3041.0,98,94
335.0,1,42.0,3083.0,99,94
336.0,2,44.0,3127.0,100,94
337.0,1,44.0,3171.0,101,94
338.0,1,45.0,3216.0,101,94
339.0,0,42.0,3258.0,102,94
340.0,3,43.0,3301.0,103,94
341.0,2,42.0,3343.0,103,94
342.0,2,42.0,3385.0,103,96
343.0,2,43.0,3428.0,103,96
344.0,2,44.0,3472.0,103,96
345.0,2,45.0,3517.0,103,97
346.0,2,46.0,3563.0,103,97
347.0,3,47.0,3610.0,104,98
348.0,2,47.0,3657.0,104,99
349.0,0,47.0,3704.0,104,99
350.0,2,48.0,3752.0,104,99
351.0,2,47.0,3799.0,104,100
352.0,2,46.0,3845.0,104,100
353.0,3,44.0,3889.0,104,100
354.0,2,43.0,3932.0,104,100
355.0,4,45.0,3977.0,105,101
356.0,4,47.0,4024.0,105,102
357.0,1,44.0,4068.0,105,102
358.0,2,43.0,4111.0,106,104
359.0,2,42.0,4153.0,107,104
360.0,2,43.0,4196.0,107,104
361.0,3,44.0,4240.0,108,104
362.0,1,44.0,4284.0,108,105
363.0,0,42.0,4326.0,110,106
364.0,2,43.0,4369.0,110,106
365.0,4,45.0,4414.0,110,107
366.0,1,40.0,4454.0,110,108
367.0,0,37.0,4491.0,110,108
368.0,5,39.0,4530.0,111,110
369.0,3,37.0,4567.0,111,110
370.0,4,37.0,4604.0,111,111
371.0,4,36.0,4640.0,113,111
372.0,2,32.0,4672.0,113,112
373.0,2,32.0,4704.0,113,112
374.0,0,28.0,4732.0,114,113
375.0,1,28.0,4760.0,115,114
376.0,1,25.0,4785.0,115,114
377.0,3,25.0,4810.0,117,115
378.0,2,24.0,4834.0,117,116
379.0,2,23.0,4857.0,117,116
380.0,3,23.0,4880.0,118,118
381.0,4,21.0,4901.0,119,118
382.0,3,19.0,4920.0,120,118
383.0,0,17.0,4937.0,120,119
384.0,1,17.0,4954.0,121,119
385.0,0,17.0,4971.0,122,119
386.0,1,15.0,4986.0,122,121
387.0,4,18.0,5004.0,124,121
388.0,1,14.0,5018.0,124,121
389.0,1,15.0,5033.0,124,122
390.0,3,17.0,5050.0,125,122
391.0,0,15.0,5065.0,126,122
392.0,1,15.0,5080.0,126,123
393.0,3,16.0,5096.0,126,123
394.0,0,13.0,5109.0,128,123
395.0,1,12.0,5121.0,128,125
396.0,3,13.0,5134.0,128,125
397.0,2,13.0,5147.0,130,126
398.0,3,14.0,5161.0,130,126
399.0,1,11.0,5172.0,131,126
400.0,2,12.0,5184.0,132,127
401.0,1,12.0,5196.0,132,127
402.0,0,12.0,5208.0,134,128
403.0,0,11.0,5219.0,134,129
404.0,0,10.0,5229.0,135,129
405.0,1,11.0,5240.0,135,129
406.0,1,11.0,5251.0,136,130
407.0,2,12.0,5263.0,137,130
408.0,1,11.0,5274.0,138,130
409.0,0,8.0,5282.0,138,131
410.0,0,8.0,5290.0,138,131
411.0,0,7.0,5297.0,139,131
412.0,1,8.0,5305.0,139,132
413.0,0,8.0,5313.0,139,133
414.0,0,8.0,5321.0,140,133
415.0,0,8.0,5329.0,140,133
416.0,2,10.0,5339.0,140,134
417.0,0,10.0,5349.0,141,134
418.0,1,11.0,5360.0,141,135
419.0,1,12.0,5372.0,141,135
420.0,1,13.0,5385.0,142,135
421.0,1,11.0,5396.0,142,135
422.0,2,11.0,5407.0,144,135
423.0,2,11.0,5418.0,144,135
424.0,1,11.0,5429.0,144,137
425.0,0,10.0,5439.0,146,137
426.0,1,11.0,5450.0,146,138
427.0,2,13.0,5463.0,146,139
428.0,0,13.0,5476.0,148,139
429.0,1,14.0,5490.0,148,141
430.0,0,13.0,5503.0,148,141
431.0,1,14.0,5517.0,149,141
432.0,1,15.0,5532.0,150,141
433.0,1,15.0,5547.0,151,141
434.0,2,16.0,5563.0,152,141
435.0,2,17.0,5580.0,152,141
436.0,1,17.0,5597.0,153,141
