(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.010050251256281,54.35678391959799,10.608040201005025,24.025125628140703,10.009478672985782,49.02857142857143,10.04739336492891,24.085308056872037
0.009949243705967021,388.9129062397414,2.56998560642408,0.0244943309512386,0.009388827744210597,254.23727891156463,0.07358325284697112,0.25812537903461286
0.09974589568482015,19.72087488525145,1.6031174649488664,0.15650664826530086,0.09689596350834537,15.944819814333577,0.2712623321564775,0.5080604088438824
10,46,10.0,24,10.0,28,10.0,24.0
10,62,10,24,10.0,51,10.0,24.0
10,54,10,24,10.0,29,11.0,24.0
10,40,11,24,10.0,45,10.0,24.0
10,51,10,24,10.0,39,10.0,24.0
10,34,10,24,10.0,35,10.0,24.0
10,43,10,24,10.0,41,10.0,24.0
10,44,11,24,10.0,53,10.0,25.0
10,33,12,24,10.0,52,10.0,24.0
10,48,10,24,10.0,39,10.0,24.0
10,48,11,24,10.0,30,10.0,24.0
10,33,12,24,10.0,33,10.0,24.0
10,40,10,24,10.0,32,10.0,24.0
10,38,11,24,10.0,41,10.0,24.0
10,37,15,24,10.0,37,10.0,24.0
10,44,12,24,10.0,45,11.0,24.0
10,37,12,24,10.0,35,10.0,24.0
10,40,12,24,10.0,33,10.0,24.0
10,43,12,24,10.0,39,10.0,24.0
10,59,12,24,10.0,39,10.0,24.0
10,41,15,24,10.0,37,10.0,24.0
10,38,12,24,10.0,38,10.0,24.0
10,47,13,24,10.0,34,10.0,24.0
10,38,14,24,10.0,38,10.0,24.0
10,47,12,24,10.0,35,10.0,24.0
10,34,15,24,10.0,46,10.0,24.0
10,33,14,24,10.0,37,10.0,24.0
10,42,13,24,10.0,35,10.0,24.0
10,46,14,25,10.0,35,10.0,24.0
10,36,15,24,10.0,57,10.0,24.0
10,57,15,24,10.0,25,10.0,24.0
10,37,13,24,10.0,38,10.0,24.0
10,54,11,24,10.0,38,10.0,24.0
10,32,23,24,10.0,24,10.0,24.0
10,100,16,24,10.0,45,10.0,24.0
10,54,10,24,10.0,25,10.0,24.0
10,86,10,24,10.0,38,10.0,24.0
10,33,10,24,10.0,71,10.0,24.0
10,69,10,24,10.0,42,10.0,24.0
10,58,10,24,10.0,66,10.0,24.0
10,55,10,24,10.0,40,10.0,24.0
10,64,10,24,10.0,52,10.0,24.0
10,73,10,24,10.0,59,10.0,24.0
10,100,10,24,10.0,57,10.0,24.0
10,43,10,24,10.0,50,10.0,24.0
10,82,10,24,10.0,39,10.0,24.0
10,73,10,25,10.0,27,10.0,24.0
10,78,10,24,10.0,100,10.0,24.0
10,100,10,24,10.0,44,10.0,24.0
10,76,10,24,10.0,56,10.0,24.0
10,100,10,25,10.0,57,10.0,24.0
10,100,10,24,10.0,69,10.0,24.0
10,100,10,24,10.0,69,10.0,24.0
10,59,10,24,10.0,97,10.0,28.0
10,68,10,24,10.0,57,10.0,26.0
10,100,10,24,10.0,53,10.0,24.0
10,100,10,24,10.0,94,10.0,24.0
10,100,10,25,10.0,55,13.0,24.0
10,100,10,24,10.0,52,10.0,24.0
10,82,10,24,10.0,56,11.0,24.0
10,100,10,24,10.0,36,10.0,25.0
10,62,10,24,10.0,49,10.0,24.0
10,46,10,24,10.0,100,10.0,24.0
10,52,10,24,10.0,55,10.0,24.0
10,62,10,24,10.0,54,10.0,24.0
10,48,10,24,10.0,75,11.0,24.0
