step_time,step_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
301.0,2,1701.0,1701.0,96,86
302.0,0,17.0,1718.0,96,86
303.0,2,19.0,1737.0,97,86
304.0,1,19.0,1756.0,97,87
305.0,1,20.0,1776.0,97,87
306.0,2,21.0,1797.0,98,88
307.0,1,22.0,1819.0,98,88
308.0,1,23.0,1842.0,98,88
309.0,2,25.0,1867.0,98,88
310.0,0,24.0,1891.0,98,88
311.0,3,27.0,1918.0,98,88
312.0,0,25.0,1943.0,98,88
313.0,3,24.0,1967.0,98,88
314.0,1,20.0,1987.0,98,88
315.0,1,19.0,2006.0,98,88
316.0,2,21.0,2027.0,100,88
317.0,2,22.0,2049.0,100,89
318.0,2,23.0,2072.0,100,90
319.0,3,24.0,2096.0,101,90
320.0,1,23.0,2119.0,102,92
321.0,2,25.0,2144.0,102,92
322.0,3,27.0,2171.0,103,92
323.0,2,28.0,2199.0,104,94
324.0,2,30.0,2229.0,104,94
325.0,1,30.0,2259.0,104,94
326.0,3,32.0,2291.0,104,95
327.0,2,33.0,2324.0,104,95
328.0,2,33.0,2357.0,104,95
329.0,0,33.0,2390.0,104,95
330.0,2,35.0,2425.0,105,95
331.0,2,37.0,2462.0,105,95
332.0,0,36.0,2498.0,105,95
333.0,5,41.0,2539.0,105,95
334.0,1,40.0,2579.0,105,95
335.0,2,42.0,2621.0,105,95
336.0,1,42.0,2663.0,105,95
337.0,0,41.0,2704.0,105,95
338.0,2,43.0,2747.0,105,95
339.0,1,41.0,2788.0,105,95
340.0,3,41.0,2829.0,105,95
341.0,3,44.0,2873.0,105,96
342.0,1,43.0,2916.0,105,96
343.0,1,41.0,2957.0,107,96
344.0,2,43.0,3000.0,107,97
345.0,2,45.0,3045.0,107,97
346.0,0,44.0,3089.0,108,97
347.0,2,46.0,3135.0,108,97
348.0,1,47.0,3182.0,108,98
349.0,0,46.0,3228.0,108,98
350.0,1,47.0,3275.0,108,99
351.0,1,44.0,3319.0,108,99
352.0,1,42.0,3361.0,108,99
353.0,0,38.0,3399.0,108,99
354.0,3,39.0,3438.0,110,99
355.0,2,36.0,3474.0,110,100
356.0,2,33.0,3507.0,110,100
357.0,4,33.0,3540.0,110,100
358.0,4,31.0,3571.0,111,101
359.0,4,30.0,3601.0,112,102
360.0,3,28.0,3629.0,112,102
361.0,3,28.0,3657.0,114,103
362.0,4,28.0,3685.0,114,104
363.0,3,30.0,3715.0,115,104
364.0,2,29.0,3744.0,115,105
365.0,3,26.0,3770.0,116,106
366.0,2,25.0,3795.0,117,107
367.0,3,25.0,3820.0,117,107
368.0,1,23.0,3843.0,118,107
369.0,1,22.0,3865.0,119,109
370.0,0,20.0,3885.0,119,109
371.0,2,22.0,3907.0,120,109
372.0,0,20.0,3927.0,121,111
373.0,0,19.0,3946.0,121,111
374.0,1,19.0,3965.0,122,111
375.0,0,17.0,3982.0,122,113
376.0,0,16.0,3998.0,123,113
377.0,1,17.0,4015.0,124,115
378.0,1,16.0,4031.0,124,115
379.0,0,15.0,4046.0,124,115
380.0,1,16.0,4062.0,126,116
381.0,1,15.0,4077.0,126,117
382.0,2,16.0,4093.0,127,117
383.0,0,15.0,4108.0,128,119
384.0,0,14.0,4122.0,128,119
385.0,1,15.0,4137.0,129,121
386.0,1,15.0,4152.0,130,121
387.0,3,16.0,4168.0,130,121
388.0,1,16.0,4184.0,131,122
389.0,0,16.0,4200.0,131,122
390.0,1,17.0,4217.0,131,122
391.0,0,16.0,4233.0,132,123
392.0,1,17.0,4250.0,132,123
393.0,0,17.0,4267.0,133,124
394.0,0,17.0,4284.0,133,125
395.0,0,17.0,4301.0,133,125
396.0,0,17.0,4318.0,134,126
397.0,0,17.0,4335.0,134,126
398.0,0,17.0,4352.0,135,127
399.0,0,17.0,4369.0,135,127
400.0,0,17.0,4386.0,135,127
401.0,0,17.0,4403.0,136,127
402.0,0,17.0,4420.0,136,127
403.0,0,17.0,4437.0,137,129
404.0,0,17.0,4454.0,137,129
405.0,0,17.0,4471.0,138,130
406.0,0,17.0,4488.0,139,130
407.0,0,17.0,4505.0,139,130
408.0,0,17.0,4522.0,140,130
409.0,0,17.0,4539.0,141,131
410.0,0,15.0,4554.0,141,132
411.0,0,13.0,4567.0,142,132
412.0,1,14.0,4581.0,142,132
413.0,0,14.0,4595.0,142,133
414.0,0,14.0,4609.0,143,134
415.0,0,14.0,4623.0,144,134
416.0,0,14.0,4637.0,144,135
417.0,2,16.0,4653.0,145,136
418.0,1,17.0,4670.0,146,136
419.0,1,18.0,4688.0,147,137
420.0,0,18.0,4706.0,147,137
421.0,1,19.0,4725.0,147,137
422.0,3,20.0,4745.0,148,137
423.0,1,17.0,4762.0,148,137
424.0,0,16.0,4778.0,149,137
425.0,0,16.0,4794.0,149,139
426.0,1,17.0,4811.0,149,139
427.0,1,17.0,4828.0,151,139
428.0,1,18.0,4846.0,151,141
429.0,1,19.0,4865.0,151,141
430.0,0,19.0,4884.0,152,142
431.0,0,19.0,4903.0,152,143
432.0,1,20.0,4923.0,152,143
433.0,1,20.0,4943.0,153,143
434.0,0,20.0,4963.0,153,143
435.0,0,20.0,4983.0,153,143
436.0,2,22.0,5005.0,153,143
437.0,0,21.0,5026.0,153,143
438.0,0,21.0,5047.0,153,143
439.0,0,21.0,5068.0,154,143
440.0,1,22.0,5090.0,154,143
441.0,2,24.0,5114.0,155,143
442.0,3,27.0,5141.0,156,143
443.0,1,27.0,5168.0,156,143
444.0,1,27.0,5195.0,157,144
445.0,0,27.0,5222.0,157,144
446.0,2,29.0,5251.0,157,144
447.0,1,29.0,5280.0,157,144
448.0,2,30.0,5310.0,159,144
449.0,0,29.0,5339.0,159,144
450.0,2,30.0,5369.0,159,145
451.0,1,30.0,5399.0,160,145
452.0,2,29.0,5428.0,160,146
453.0,1,26.0,5454.0,160,146
454.0,2,27.0,5481.0,161,147
455.0,1,26.0,5507.0,161,147
456.0,1,27.0,5534.0,161,148
457.0,1,25.0,5559.0,161,148
458.0,3,28.0,5587.0,162,148
459.0,0,27.0,5614.0,163,149
460.0,2,27.0,5641.0,163,149
461.0,2,25.0,5666.0,164,149
462.0,3,25.0,5691.0,165,149
463.0,1,23.0,5714.0,165,149
464.0,3,23.0,5737.0,166,151
465.0,3,21.0,5758.0,166,151
466.0,4,23.0,5781.0,166,152
467.0,0,18.0,5799.0,166,153
468.0,2,17.0,5816.0,166,153
469.0,5,22.0,5838.0,168,155
470.0,1,17.0,5855.0,168,155
471.0,4,20.0,5875.0,170,155
472.0,0,18.0,5893.0,170,157
473.0,3,20.0,5913.0,171,157
474.0,1,20.0,5933.0,171,157
475.0,1,18.0,5951.0,172,159
476.0,2,19.0,5970.0,173,159
477.0,1,19.0,5989.0,173,160
478.0,0,19.0,6008.0,174,161
479.0,3,21.0,6029.0,175,161
480.0,2,21.0,6050.0,175,161
481.0,4,22.0,6072.0,175,162
482.0,1,21.0,6093.0,175,162
483.0,2,22.0,6115.0,175,162
484.0,0,21.0,6136.0,175,164
485.0,2,22.0,6158.0,175,164
486.0,1,21.0,6179.0,175,165
487.0,1,21.0,6200.0,175,165
488.0,0,20.0,6220.0,175,165
489.0,2,22.0,6242.0,175,166
490.0,1,21.0,6263.0,175,166
491.0,3,20.0,6283.0,175,167
492.0,1,15.0,6298.0,175,168
493.0,2,15.0,6313.0,175,168
494.0,2,16.0,6329.0,176,168
495.0,1,16.0,6345.0,177,169
496.0,3,18.0,6363.0,177,170
497.0,1,16.0,6379.0,178,171
498.0,1,16.0,6395.0,178,172
499.0,1,16.0,6411.0,179,172
500.0,3,19.0,6430.0,179,172
501.0,2,19.0,6449.0,179,172
502.0,2,18.0,6467.0,179,172
503.0,1,14.0,6481.0,179,172
504.0,2,13.0,6494.0,179,172
505.0,6,15.0,6509.0,179,172
506.0,2,11.0,6520.0,179,173
507.0,2,12.0,6532.0,180,174
508.0,3,12.0,6544.0,180,174
