step_time,step_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
0.0,0,0.0,0.0,0,0
1.0,0,0.0,0.0,0,0
2.0,0,0.0,0.0,0,0
3.0,0,0.0,0.0,0,0
4.0,0,0.0,0.0,0,0
5.0,0,0.0,0.0,0,0
6.0,0,0.0,0.0,0,0
7.0,0,0.0,0.0,0,0
8.0,0,0.0,0.0,0,0
9.0,0,0.0,0.0,0,0
10.0,0,0.0,0.0,0,0
11.0,0,0.0,0.0,0,0
12.0,0,0.0,0.0,0,0
13.0,0,0.0,0.0,0,0
14.0,0,0.0,0.0,0,0
15.0,0,0.0,0.0,0,0
16.0,0,0.0,0.0,0,0
17.0,2,2.0,2.0,0,0
18.0,0,2.0,4.0,0,0
19.0,0,2.0,6.0,0,0
20.0,0,2.0,8.0,0,0
21.0,0,2.0,10.0,1,0
22.0,0,2.0,12.0,1,0
23.0,0,2.0,14.0,1,0
24.0,0,2.0,16.0,1,0
25.0,0,2.0,18.0,1,1
26.0,1,3.0,21.0,1,1
27.0,0,2.0,23.0,1,1
28.0,2,4.0,27.0,1,2
29.0,0,4.0,31.0,1,2
30.0,0,4.0,35.0,1,2
31.0,0,4.0,39.0,1,2
32.0,1,5.0,44.0,1,2
33.0,0,5.0,49.0,1,2
34.0,2,7.0,56.0,1,2
35.0,0,6.0,62.0,2,2
36.0,0,6.0,68.0,2,2
37.0,0,6.0,74.0,2,2
38.0,0,6.0,80.0,2,2
39.0,0,6.0,86.0,2,2
40.0,1,7.0,93.0,2,2
41.0,0,7.0,100.0,2,2
42.0,0,7.0,107.0,2,2
43.0,0,7.0,114.0,2,2
44.0,0,7.0,121.0,3,2
45.0,0,7.0,128.0,3,2
46.0,0,7.0,135.0,3,2
47.0,1,8.0,143.0,3,2
48.0,0,8.0,151.0,3,2
49.0,1,9.0,160.0,3,2
50.0,0,9.0,169.0,3,2
51.0,1,10.0,179.0,3,2
52.0,1,10.0,189.0,3,2
53.0,1,11.0,200.0,3,2
54.0,0,11.0,211.0,3,2
55.0,0,10.0,221.0,4,2
56.0,0,9.0,230.0,4,2
57.0,3,11.0,241.0,4,3
58.0,1,9.0,250.0,4,3
59.0,1,9.0,259.0,4,4
60.0,2,10.0,269.0,4,4
61.0,0,8.0,277.0,4,4
62.0,2,10.0,287.0,5,5
63.0,1,10.0,297.0,5,5
64.0,0,10.0,307.0,5,5
65.0,0,10.0,317.0,5,6
66.0,0,10.0,327.0,5,6
67.0,0,10.0,337.0,6,6
68.0,0,10.0,347.0,6,6
69.0,0,10.0,357.0,6,7
70.0,0,10.0,367.0,6,7
71.0,0,10.0,377.0,6,7
72.0,0,10.0,387.0,6,7
73.0,0,10.0,397.0,6,7
74.0,0,10.0,407.0,6,7
75.0,2,12.0,419.0,6,8
